"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Pain Relief Centers PA","NC","Healthcare Provider","7000","06/01/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Builders FirstSource Flex Plan","TX","Health Plan","3690","05/30/2023","Hacking/IT Incident","Network Server","No",""
"Onix Group","PA","Business Associate","319500","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"North Shore Medical Labs","NY","Healthcare Provider","500","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Sparta Community Hospital District","IL","Healthcare Provider","900","05/26/2023","Hacking/IT Incident","Email","No",""
"Managed Care of North America (MCNA)","GA","Business Associate","8861076","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"South Jersey Behavioral Health Resources, Inc.","NJ","Healthcare Provider","2193","05/26/2023","Hacking/IT Incident","Email","No",""
"Valley Orthopaedic Specialists","CT","Healthcare Provider","5062","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Lancaster Orthopedic Group","PA","Healthcare Provider","1784","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Albany ENT & Allergy Services, PC.","NY","Healthcare Provider","224486","05/25/2023","Hacking/IT Incident","Network Server","No",""
"Asian Health Services","CA","Healthcare Provider","6270","05/25/2023","Hacking/IT Incident","Email","No",""
"Goodwill Industries of Greater New York and Northern NJ, Inc.","NY","Healthcare Provider","805","05/24/2023","Hacking/IT Incident","Email","No",""
"Harvard Pilgrim Health Care","MA","Health Plan","2624191","05/24/2023","Hacking/IT Incident","Network Server","No",""
"MedInform, Inc.","OH","Business Associate","14453","05/24/2023","Hacking/IT Incident","Network Server","Yes",""
"UI Community Home Care, a subsidiary of University of Iowa Health System ","IA","Healthcare Provider","67897","05/24/2023","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Grant Regional Health Center","WI","Healthcare Provider","4135","05/23/2023","Hacking/IT Incident","Email","No",""
"PillPack LLC","NH","Healthcare Provider","19032","05/19/2023","Hacking/IT Incident","Network Server","No",""
"University of Missouri Health Care ","MO","Healthcare Provider","736","05/17/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service","NJ","Health Plan","552","05/16/2023","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Buckeye Health Plan","OH","Health Plan","686","05/16/2023","Unauthorized Access/Disclosure","Email","No",""
"Essen Medical Associates, P.C.","NY","Healthcare Provider","500","05/16/2023","Hacking/IT Incident","Network Server","No",""
"Lehigh Valley Health Network (blackcat)","PA","Healthcare Provider","248359","05/15/2023","Hacking/IT Incident","Network Server","No",""
"R&B Corporation of Virginia d/b/a Credit Control Corporation","VA","Business Associate","345523","05/13/2023","Hacking/IT Incident","Network Server","Yes",""
"PharMerica Corporation","KY","Healthcare Provider","5815591","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services","IL","Health Plan","50839","05/12/2023","Hacking/IT Incident","Network Server","No",""
"IMA Financial Group, Inc.","KS","Business Associate","5242","05/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Uintah Basin Healthcare","UT","Healthcare Provider","103974","05/10/2023","Hacking/IT Incident","Network Server","No",""
"Our Sunday Visitor, Inc.","IN","Health Plan","965","05/05/2023","Hacking/IT Incident","Network Server","No",""
"People Incorporated of Sequoyah County","OK","Healthcare Provider","8725","05/05/2023","Hacking/IT Incident","Network Server","No",""
"New Mexico Department of Health","NM","Healthcare Provider","49000","05/04/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Methodist Family Health","AR","Healthcare Provider","5259","05/03/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Health – La Porte","IN","Healthcare Provider","10256","05/02/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Saint Louis University","MO","Healthcare Provider","48392","05/01/2023","Hacking/IT Incident","Email","No",""
"Summit Eye & Optical","NJ","Healthcare Provider","5727","05/01/2023","Hacking/IT Incident","Network Server","No",""
"Link Audiology LLC","WA","Healthcare Provider","7200","04/28/2023","Hacking/IT Incident","Email","No",""
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers","VA","Healthcare Provider","5272","04/28/2023","Hacking/IT Incident","Email","No",""
"Allina Health","MN","Healthcare Provider","1042","04/28/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Unlimited Care, Inc. ","NY","Healthcare Provider","8453","04/27/2023","Hacking/IT Incident","Network Server","No",""
"University of California, San Francisco","CA","Healthcare Provider","676","04/26/2023","Hacking/IT Incident","Email","No",""
"CounSol, LLC","FL","Business Associate","4277","04/25/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","17000","04/25/2023","Hacking/IT Incident","Email","No",""
"Mars Area School District  ","PA","Health Plan","1270","04/24/2023","Hacking/IT Incident","Network Server","No",""
"Upstream RollCo, LLC","AL","Healthcare Provider","748678","04/22/2023","Hacking/IT Incident","Email","No",""
"Robeson Health Care Corporation","NC","Healthcare Provider","15045","04/21/2023","Hacking/IT Incident","Network Server","No",""
"Modern Cardiology Associates","","Healthcare Provider","10000","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Graceworks Lutheran Services","OH","Healthcare Provider","6737","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Ethan Health, LLC","KY","Healthcare Provider","4047","04/14/2023","Hacking/IT Incident","Email","No",""
"MiniMed Distribution Corp.","CA","Healthcare Provider","58374","04/14/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Dallas County","TX","Healthcare Provider","501","04/14/2023","Improper Disposal","Desktop Computer","No",""
"United Steelworkers Local 286","PA","Health Plan","37965","04/14/2023","Hacking/IT Incident","Email","No",""
"Henry County Hospital","OH","Healthcare Provider","3689","04/14/2023","Hacking/IT Incident","Network Server","Yes",""
"NationsBenefits Holdings, LLC","FL","Business Associate","3037303","04/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Cummins Behavioral Health Systems","IN","Healthcare Provider","501","04/12/2023","Hacking/IT Incident","Network Server","No",""
"Retina & Vitreous of Texas, PLLC","TX","Healthcare Provider","35766","04/10/2023","Hacking/IT Incident","Network Server","No",""
"Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)","IA","Health Plan","20815","04/10/2023","Hacking/IT Incident","Network Server","Yes",""
"La Clínica de La Raza, Inc.","CA","Healthcare Provider","15316","04/07/2023","Hacking/IT Incident","Email","No",""
"Gretna Family Health","NE","Healthcare Provider","845","04/07/2023","Hacking/IT Incident","Network Server","No",""
"NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM","PA","Health Plan","13240","04/05/2023","Hacking/IT Incident","Email","No",""
"Southwest Healthcare Services","ND","Healthcare Provider","15996","04/01/2023","Hacking/IT Incident","Network Server","No",""
"Tallahassee Memorial Healthcare, Inc.","FL","Healthcare Provider","20376","03/31/2023","Hacking/IT Incident","Network Server","No",""
"Monument, Inc.","NY","Business Associate","108584","03/31/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"ProSmile Holdings, LLC","NJ","Business Associate","39674","03/28/2023","Hacking/IT Incident","Email","Yes",""
"Nonstop Administration and Insurance Services, Inc.","PA","Business Associate","8571","03/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Adams County Children and Youth Services","PA","Healthcare Provider","722","03/24/2023","Hacking/IT Incident","Email","No",""
"Atlantic General Hospital","MD","Healthcare Provider","26591","03/24/2023","Hacking/IT Incident","Network Server","No",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","54396","03/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Integrated Supports for Living, Inc.","OR","Healthcare Provider","1161","03/20/2023","Hacking/IT Incident","Network Server","No",""
"Health Plan of San Mateo","CA","Health Plan","11894","03/17/2023","Hacking/IT Incident","Email","No",""
"Associates in Dermatology","KY","Healthcare Provider","8517","03/17/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Health Systems Professional Services Corporations (CHSPSC), LLC","TN","Business Associate","962884","03/16/2023","Hacking/IT Incident","Network Server","Yes",""
"UC San Diego Health ","CA","Healthcare Provider","23000","03/16/2023","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"AllCare Plus Pharmacy, Inc.","MA","Healthcare Provider","757","03/15/2023","Hacking/IT Incident","Email","No",""
"Healthy Options dba Postal Prescription Services – Kroger ","OH","Healthcare Provider","82466","03/15/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Top of the World Ranch Treatment Center","IL","Healthcare Provider","1980","03/14/2023","Hacking/IT Incident","Email","No",""
"NorthStar Emergency Medical Services","AL","Healthcare Provider","82450","03/14/2023","Hacking/IT Incident","Network Server","No",""
"ZOLL Services LLC ","MA","Healthcare Provider","997097","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Colquitt Complete Care, LLC","GA","Healthcare Provider","1282","03/10/2023","Hacking/IT Incident","Network Server","Yes",""
"The M K Morse Company's Health Plan","OH","Health Plan","1378","03/08/2023","Hacking/IT Incident","Network Server","No",""
"SundaySky, Inc.","NY","Business Associate","37095","03/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Trinity Health","MI","Business Associate","45350","03/06/2023","Hacking/IT Incident","Email","Yes",""
"Northeast Surgical Group, PC","MI","Healthcare Provider","15298","03/06/2023","Hacking/IT Incident","Network Server","No",""
"Denver Public Schools Medical Plans","CO","Health Plan","35068","03/03/2023","Hacking/IT Incident","Network Server","No",""
"Codman Square Health Center","MA","Healthcare Provider","10161","03/01/2023","Hacking/IT Incident","Network Server","No",""
"MHMR Authority of Brazos Valley ","TX","Healthcare Provider","78984","02/28/2023","Hacking/IT Incident","Network Server","No",""
"Community Health Group ","CA","Health Plan","824","02/28/2023","Hacking/IT Incident","Network Server","Yes",""
"eMDs, Inc.","TX","Business Associate","625","02/24/2023","Hacking/IT Incident","Network Server","Yes",""
"Harrisburg Medical Center (“HMC”)","IL","Healthcare Provider","147826","02/21/2023","Hacking/IT Incident","Network Server","No",""
"Hutchinson Clinic, P.A. ","KS","Healthcare Provider","100000","02/17/2023","Hacking/IT Incident","Network Server","No",""
"Shady Lane Nursing Home","NJ","Healthcare Provider","566","02/17/2023","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Jackson Lewis P.C. ","CA","Business Associate","986","02/17/2023","Theft","Other Portable Electronic Device","Yes",""
"Reventics, LLC","FL","Business Associate","4212823","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Compass Behavioral Health","KS","Healthcare Provider","537","02/10/2023","Hacking/IT Incident","Email","No",""
"Highmark Inc","PA","Business Associate","36600","02/10/2023","Hacking/IT Incident","Email","Yes",""
"Cheyenne Radiology Group & MRI, P.C.","WY","Healthcare Provider","12222","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Tattnall County, Georgia","GA","Healthcare Provider","1337","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Health Benefit Plan of Bridgewater-Raritan Regional School District","NJ","Health Plan","3909","02/09/2023","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","175000","02/08/2023","Hacking/IT Incident","Network Server","Yes",""
"NR Pennsylvania Associates, LLC","PA","Healthcare Provider","14335","02/07/2023","Hacking/IT Incident","Network Server","No",""
"Frank R. Laurri, M.D. and Associates, P.C.","NY","Healthcare Provider","2673","02/07/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Vitra Health, Inc.","MA","Healthcare Provider","1618","02/06/2023","Hacking/IT Incident","Email","No",""
"Cardiovascular Associates","AL","Healthcare Provider","441640","02/03/2023","Hacking/IT Incident","Network Server","No",""
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below","AZ","Healthcare Provider","10978","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group","CA","Healthcare Provider","3388856","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Brooks Rehabilitation","FL","Healthcare Provider","1554","01/31/2023","Unauthorized Access/Disclosure","Network Server","No",""
"DotHouse Health Incorporated","MA","Healthcare Provider","10000","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Benefit Administrative Systems, LLC (BAS)","IL","Business Associate","6465","01/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Minuteman Senior Services","MA","Healthcare Provider","500","01/27/2023","Hacking/IT Incident","Email","No",""
"Benefit Management LLC","KS","Business Associate","3356","01/27/2023","Hacking/IT Incident","Email","Yes",""
"Peachtree Immediate Care FP, LLC","GA","Healthcare Provider","2555","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"One Brooklyn Health System","NY","Healthcare Provider","500","01/18/2023","Hacking/IT Incident","Network Server","No",""
"DPP II, LLC","TX","Healthcare Provider","125981","01/12/2023","Hacking/IT Incident","Network Server","No",""
"Insulet Corporation","MA","Healthcare Provider","29000","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Barclay Damon LLP","NY","Business Associate","1039","01/03/2023","Hacking/IT Incident","Email","Yes",""
"NR Florida Associates LLC","FL","Healthcare Provider","6250","12/30/2022","Hacking/IT Incident","Network Server","No",""
"L. Knife & Son, Inc. Employee Benefits Plan","MA","Health Plan","4082","12/30/2022","Hacking/IT Incident","Network Server","No",""
"Legacy Operating Company d/b/a Legacy Hospice","AL","Healthcare Provider","21202","12/22/2022","Hacking/IT Incident","Email","No",""
"Sleep Center Hawaii","HI","Healthcare Provider","5396","12/12/2022","Hacking/IT Incident","Email","No",""
"Pediatrics West, P.C.","MA","Healthcare Provider","1364","12/09/2022","Hacking/IT Incident","Network Server","No",""
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.","GA","Health Plan","20849","12/06/2022","Hacking/IT Incident","Network Server","No",""
"NYC Health + Hospitals","NY","Healthcare Provider","2174","12/02/2022","Loss","Other Portable Electronic Device","No",""
"CommonSpirit Health","IL","Business Associate","623774","12/01/2022","Hacking/IT Incident","Network Server","Yes",""
"Keck Medicine of USC","CA","Healthcare Provider","2200","11/29/2022","Hacking/IT Incident","Email","No",""
"Compton & Broomhead Dental Center","IN","Healthcare Provider","1307","11/23/2022","Hacking/IT Incident","Email","No",""
"Hope Health Systems Inc.","MD","Healthcare Provider","9972","11/21/2022","Hacking/IT Incident","Electronic Medical Record","No",""
"Orlando Health","FL","Healthcare Provider","3662","11/18/2022","Hacking/IT Incident","Email","No",""
"Wright & Filippis LLC","MI","Healthcare Provider","877584","11/18/2022","Hacking/IT Incident","Network Server","No",""
"Innovative Service Technology Management Services, Inc. ","GA","Health Plan","2654","11/17/2022","Hacking/IT Incident","Network Server","No",""
"South Walton Fire District","FL","Healthcare Provider","25331","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Docs Medical Inc","CT","Healthcare Provider","3146","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Epic Management LLC","TN","Healthcare Provider","10862","11/14/2022","Hacking/IT Incident","Email","No",""
"Health Care Management Solutions, LLC","WV","Business Associate","500000","11/14/2022","Hacking/IT Incident","Network Server","Yes",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","12000","11/11/2022","Hacking/IT Incident","Laptop","No",""
"Stanley Street Treatment and Resources, Inc. ","MA","Healthcare Provider","45785","11/11/2022","Hacking/IT Incident","Network Server","No",""
"Connexin Software, Inc.","PA","Business Associate","2675934","11/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Doctors' Center Hospital","","Healthcare Provider","1195220","11/09/2022","Hacking/IT Incident","Network Server","No",""
"Heartland Alliance ","IL","Business Associate","46694","11/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Eastside Pediatrics, PLLC","NY","Healthcare Provider","1723","11/08/2022","Hacking/IT Incident","Network Server","No",""
"OCEANVIEWS OPTICAL INC","FL","Healthcare Provider","2000","11/03/2022","Hacking/IT Incident","Network Server","No",""
"TIC International Corporation (“TIC”)","IN","Business Associate","1362","11/01/2022","Hacking/IT Incident","Network Server","Yes",""
"CorrectCare Integrated Health, Inc.","KY","Business Associate","4380","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"CorrectCare Integrated Health, Inc.","KY","Business Associate","438713","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Heart of Florida Health Center, Inc.","FL","Healthcare Provider","721","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"The Psychology Center","WI","Healthcare Provider","3614","10/31/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Assurance Health System, LLC","IN","Healthcare Provider","3565","10/28/2022","Hacking/IT Incident","Email","No",""
"SightCare, Inc.","AZ","Health Plan","637999","10/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Nationwide Optometry, PC","AZ","Healthcare Provider","73073","10/28/2022","Hacking/IT Incident","Network Server","Yes",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","33857","10/25/2022","Hacking/IT Incident","Email","No",""
"Coastal Horizons Center Inc.","NC","Healthcare Provider","679","10/25/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Somnia, Inc.","NY","Healthcare Provider","1326","10/24/2022","Hacking/IT Incident","Network Server","No",""
"Hendry County Hospital Authority d/b/a Hendry Regional Medical Center","FL","Healthcare Provider","49514","10/24/2022","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ","IL","Health Plan","480435","10/21/2022","Hacking/IT Incident","Network Server","No",""
"Phoenix Programs of Florida, Inc.","FL","Healthcare Provider","6594","10/21/2022","Hacking/IT Incident","Email","No",""
"Dr. Scott B. Klimaj, DMD","RI","Healthcare Provider","1558","10/21/2022","Hacking/IT Incident","Network Server","No",""
"Wenco Management, LLC Health and Welfare Benefit Plan","OH","Health Plan","20526","10/20/2022","Hacking/IT Incident","Network Server","No",""
"Pynenberg & Scheske DDS,SC ","WI","Healthcare Provider","2612","10/20/2022","Hacking/IT Incident","Network Server","No",""
"Sigmund Software, LLC ","CT","Business Associate","983","10/20/2022","Hacking/IT Incident","Network Server","Yes",""
"Friend Family Health Center, Inc.","IL","Healthcare Provider","1419","10/14/2022","Hacking/IT Incident","Email","No",""
"Blue Cross and Blue Shield of Kansas","KS","Health Plan","1308","10/14/2022","Hacking/IT Incident","Network Server","No",""
"WakeMed Health and Hospitals","NC","Healthcare Provider","495808","10/14/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Springfield Clinic","IL","Healthcare Provider","802","10/14/2022","Loss","Other Portable Electronic Device","No",""
"Premier Physical Therapy and Sports Performance, Limited Partnership","DE","Healthcare Provider","982","10/12/2022","Hacking/IT Incident","Email","No",""
"Defense Health Headquarters","VA","Health Plan","1279","10/12/2022","Hacking/IT Incident","Network Server","No",""
"Aesthetic Dermatology Associates, PC","PA","Healthcare Provider","33793","10/10/2022","Hacking/IT Incident","Network Server","No",""
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas","TX","Healthcare Provider","1500","10/07/2022","Hacking/IT Incident","Network Server","No",""
"Urology of Greater Atlanta, LLC","GA","Healthcare Provider","79795","10/07/2022","Hacking/IT Incident","Network Server, Other","No",""
"Wisconsin Department of Health Services","WI","Health Plan","12358","10/07/2022","Unauthorized Access/Disclosure","Email","No",""
"Valle del Sol, Inc.","AZ","Healthcare Provider","70268","10/05/2022","Hacking/IT Incident","Network Server","No",""
"Family Medicine Shady Grove LLC","MD","Healthcare Provider","6482","10/03/2022","Hacking/IT Incident","Network Server","No",""
"Monroe Ear Nose and Throat Associates, PC","MI","Healthcare Provider","14500","09/30/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Anthem Health Plans of Kentucky, Incorporated","IN","Business Associate","537","09/29/2022","Theft","Other Portable Electronic Device","Yes",""
"Smith, Gambrell & Russell, LLP","GA","Business Associate","4688","09/28/2022","Hacking/IT Incident","Network Server","Yes",""
"McPherson Hospital, Inc.","KS","Healthcare Provider","19020","09/26/2022","Hacking/IT Incident","Network Server","No",""
"Extended MLTC","NY","Health Plan","5494","09/26/2022","Hacking/IT Incident","Network Server","Yes",""
"FMC Services, LLC","TX","Healthcare Provider","233948","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Grayling Anesthesia Associates PC","MI","Healthcare Provider","15378","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Physician’s Business Office, Inc.","WV","Business Associate","196673","09/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Bloomington Meadows Hospital","IN","Healthcare Provider","788","09/23/2022","Unauthorized Access/Disclosure","Email","No",""
"UW Medicine","WA","Healthcare Provider","3804","09/21/2022","Hacking/IT Incident","Network Server","Yes",""
"Landmark Management Services","FL","Healthcare Provider","501","09/15/2022","Hacking/IT Incident","Network Server","No",""
"Centerstone of Tennessee, Inc.","TN","Healthcare Provider","3675","09/12/2022","Hacking/IT Incident","Email","No",""
"SERV Behavioral Health Systems, Inc.","NJ","Healthcare Provider","8110","09/09/2022","Hacking/IT Incident","Network Server","No",""
"FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS","TN","Health Plan","983","09/09/2022","Hacking/IT Incident","Network Server","Yes",""
"The Sargent’s Group","PA","Business Associate","1650","09/09/2022","Hacking/IT Incident","Network Server","Yes",""
"Medical Associates of the Lehigh Valley","PA","Healthcare Provider","75628","09/09/2022","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Business Associate","501","09/02/2022","Hacking/IT Incident","Network Server","Yes",""
"Narragansett Bay Commission","RI","Healthcare Provider","2153","09/01/2022","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1704","08/31/2022","Theft","Paper/Films","No",""
"Trinity Health ","MI","Business Associate","5738","08/29/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Methodist McKinney Hospital","TX","Healthcare Provider","110244","08/26/2022","Hacking/IT Incident","Network Server","No",""
"Methodist Craig Ranch Surgical Center","TX","Healthcare Provider","15157","08/26/2022","Hacking/IT Incident","Network Server","No",""
"Farmville Internal Medicine","NC","Healthcare Provider","3000","08/25/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Community Bridges","NH","Healthcare Provider","10461","08/24/2022","Hacking/IT Incident","Network Server","No",""
"Warner Norcross and Judd, LLP","MI","Business Associate","255160","08/24/2022","Hacking/IT Incident","Network Server","Yes",""
"Dow Rummel Village","SD","Healthcare Provider","1079","07/20/2022","Hacking/IT Incident","Email","No",""
"ARC Industries Inc. of Franklin County","OH","Healthcare Provider","22011","06/17/2022","Hacking/IT Incident","Network Server","No",""
"Apria Healthcare LLC","IN","Healthcare Provider","1868831","05/16/2022","Hacking/IT Incident","Email, Network Server","No",""
"Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers","CA","Healthcare Provider","34775","03/21/2022","Hacking/IT Incident","Network Server","No",""
